id_Mat,name
EST-14107,"PROCESOS ESTOCASTICOS,I"
EST-21101,ANALISIS DE SERIES DE TIEMPO
EST-21104,FUNDAMENTOS DE ECONOMETRIA
EST-24104,"ESTADISTICA APLICADA, I"
EST-24105,"ESTADISTICA APLICADA, II"
EST-24106,"ESTADISTICA APLICADA, III"
EST-24107,SIMULACION
EST-25146,ECONOMET. FINANCIERA ACTUARIAL
IIO-12170,AUTOMAT. Y CONTROL DE PROCESOS
IIO-12180,DISEÑO Y DES. DE PRODUCTO
IIO-12190,MANUFACTURA INTEGRADA P/COMP.
IIO-13150,MODELADO Y OPTIMIZACION I
IIO-13160,MODELADO Y OPTIMIZACION II
IIO-13180,SIMULACION DE SISTEMAS
IIO-14160,DISEÑO DE PLANTA
IIO-14161,PLANEAC. Y CONTROL DE PRODUC.
IIO-14162,ING. Y CONTROL DE LA CALIDAD
IIO-14170,LOGISTICA Y DISTRIBUCION
IIO-14180,ADMON. Y EVALUA. DE PROYECTOS
IIO-14193,ING. DE PROCESOS DE NEGOCIOS
IIO-14278,ADMON. CADENA DE SUMINISTRO
IIO-15130,FUNDAMENTOS DE QUIMICA
IIO-15140,CIENCIAS DE LOS MATERIALES
IIO-15161,MANUFACTURA DE COMPONENTES
IIO-15170,DISEÑO ASISTIDO POR COMPUTAD.
IIO-15183,DISEÑO DE MECANISM ROBOTICOS
IIO-15196,SISTEMAS MECATRONICOS
IIO-16180,SEMINARIO DE TITULACION
LEN-10131,ESTRATEGIAS DE COMUNIC. ESCRIT
LEN-10132,SEM. DE COMUNICACION ESCRITA
LEN-10134,COMUNICACION ESCRITA PARA ING.
LEN-10135,COM. ESCRITA PARA MAT. APL.
LEN-12002,COM ESCRITA PARA C.P.Y EST FIN
LEN-15358,COMUNIC. ESCRITA PARA ACTUARIA
LEN-15532,COMUN.ESCRITA PARA DIR. FINANC
LEN-16403,COMUNIC. ESCRITA PARA REL. INT
LEN-17103,COMUNICAC. ESCRITA PARA ECONOM
MAT-10101,MET. CUANTITATIVOS PARA DER.
MAT-11100,"MATEMATICAS, I"
MAT-11101,"MATEMATICAS, II"
MAT-11310,"MATEMATICAS, III"
MAT-12100,CALCULO I
MAT-12101,"CALCULO, II"
MAT-12102,"CALCULO, III"
MAT-12210,SIST. DINAMICOS
MAT-12310,ALGEBRA MATRICIAL
MAT-14011,INTRO. A LAS MATEM.
MAT-14012,INTRO. A LAS MATEM.
MAT-14013,INTRO. A LAS MATEM.
MAT-14014,INTRO. A LAS MATEM.
